bb_bucket,out,single,double,triple,home_run
10-20deg: 100-105mph,0.33903686717234083,0.35455988710530956,0.27897336390897864,0.022137943199858883,0.0052919386135120835
10-20deg: 105+mph,0.2532615448332988,0.27790432801822323,0.3923172499482295,0.02226133775108718,0.05425553944916132
10-20deg: 90-95mph,0.34735222464418514,0.5236568790870625,0.11732273368380562,0.010770611616873958,0.0008975509680728299
10-20deg: 95-100mph,0.3439967189582693,0.45124577053214393,0.18855736696401107,0.0160976109914898,0.00010253255408592229
10-20deg: <90mph,0.29798211419399223,0.6261178628754873,0.07165787663379959,0.004184819995413896,5.732630130703967e-05
10deg: 100-105mph,0.5500625025202629,0.3978386225251018,0.04846969635872414,0.0035888543892898905,4.0324206621234725e-05
10deg: 105+mph,0.46925731816438704,0.4579445225616771,0.06889939920746517,0.0038987600664706634,0.0
10deg: 90-95mph,0.7238025992911025,0.24366081977642462,0.03049168408615832,0.0020448968463146417,0.0
10deg: 95-100mph,0.6445176212317222,0.31612372103963304,0.036457720804421966,0.0029009369242228235,0.0
10deg: <90mph,0.8414057741503228,0.14562066025094408,0.012461932025825314,0.0005116335729077841,0.0
20-30deg: 100-105mph,0.3292134831460674,0.012768130745658836,0.218488253319714,0.028907048008171603,0.41062308478038817
20-30deg: 105+mph,0.06289592760180995,0.00980392156862745,0.11613876319758673,0.012368024132730015,0.7987933634992459
20-30deg: 90-95mph,0.8634569850039463,0.017232307287555905,0.09589581689029203,0.010392002104709287,0.013022888713496448
20-30deg: 95-100mph,0.6794024997459608,0.014124580835280967,0.17264505639670766,0.019205365308403617,0.11462249771364699
20-30deg: <90mph,0.589047426491826,0.3460805268326498,0.05961527352550401,0.005083472936283288,0.00017330021373693027
30-40deg: 100-105mph,0.512778684067428,0.001087547580206634,0.030813848105854632,0.011419249592169658,0.44390067065434113
30-40deg: 105+mph,0.17967332123411978,0.0013611615245009074,0.012704174228675136,0.004990925589836661,0.8012704174228675
30-40deg: 90-95mph,0.9430918595967139,0.001194921583271098,0.02270351008215086,0.004331590739357729,0.028678117998506347
30-40deg: 95-100mph,0.8087778528021607,0.002025658338960162,0.0299797434166104,0.008102633355840648,0.15111411208642808
30-40deg: <90mph,0.8394118402465648,0.1288686271991781,0.029279568511621935,0.0017978682419416978,0.0006420958006934634
40-50deg: 100-105mph,0.9132530120481928,0.0006024096385542169,0.016867469879518072,0.0030120481927710845,0.06626506024096386
40-50deg: 105+mph,0.6573816155988857,0.002785515320334262,0.011142061281337047,0.008356545961002786,0.3203342618384401
40-50deg: 90-95mph,0.9927909371781668,0.0006179196704428424,0.004531410916580845,0.00020597322348094748,0.0018537590113285273
40-50deg: 95-100mph,0.9717333333333333,0.0010666666666666667,0.0088,0.0034666666666666665,0.014933333333333333
40-50deg: <90mph,0.924969450101833,0.056537678207739306,0.018085539714867618,0.00032586558044806515,8.146639511201629e-05
50+deg,0.986548216237424,0.008435389401115377,0.004848247064428439,0.00016814729703220022,0.0
